stable_id,mmsi,imo,flag_norm,vessel_type_norm,nav_status_norm,destination_norm,port_name_norm,locode_norm,timestamp_date,timestamp_full,latitude,longitude
249084000_2022-01-12T20-46-45_00-00_LVVNT_port_call,249084000,9255828,UNKNOWN,tanker,unknown,LVVNT,ventspils,LVVNT,2022-01-12,2022-01-12T20:46:45+00:00,,
219435000_2022-01-13T06-30-05_00-00_SEGOT_port_call,219435000,9274848,UNKNOWN,cargo ship,unknown,NOBVK,göteborg,SEGOT,2022-01-13,2022-01-13T06:30:05+00:00,,
266421000_2022-01-13T19-14-48_00-00_PLSWI_port_call,266421000,9428073,UNKNOWN,tanker,unknown,STIGSNAES,swinoujscie,PLSWI,2022-01-13,2022-01-13T19:14:48+00:00,,
305733000_2022-01-15T04-34-11_00-00_SESOE_port_call,305733000,9534303,UNKNOWN,cargo ship,unknown,RIGA,södertälje,SESOE,2022-01-15,2022-01-15T04:34:11+00:00,,
259110000_2022-01-15T17-07-59_00-00_LVVNT_port_call,259110000,9904766,UNKNOWN,cargo ship,unknown,VENTSPILS,ventspils,LVVNT,2022-01-15,2022-01-15T17:07:59+00:00,,
248221000_2022-01-16T02-13-39_00-00_LVVNT_port_call,248221000,9479802,UNKNOWN,tanker,unknown,LV VNT,ventspils,LVVNT,2022-01-16,2022-01-16T02:13:39+00:00,,
311000375_2022-01-16T08-24-52_00-00_SEKAN_port_call,311000375,9706516,UNKNOWN,tanker,unknown,SE KAN SE GOT,karlshamn,SEKAN,2022-01-16,2022-01-16T08:24:52+00:00,,
210100000_2022-01-17T19-49-20_00-00_PLGDN_port_call,210100000,9195717,UNKNOWN,cargo ship,unknown,RIGA,gdansk,PLGDN,2022-01-17,2022-01-17T19:49:20+00:00,,
309586000_2022-01-18T10-10-05_00-00_SEGOT_port_call,309586000,9386225,UNKNOWN,cargo ship,unknown,PLGDN,göteborg,SEGOT,2022-01-18,2022-01-18T10:10:05+00:00,,
210353000_2022-01-19T07-26-28_00-00_LVVNT_port_call,210353000,9361328,UNKNOWN,cargo ship,unknown,VENTSPILS,ventspils,LVVNT,2022-01-19,2022-01-19T07:26:28+00:00,,
257136000_2022-01-19T17-33-37_00-00_PLGDN_port_call,257136000,8913708,UNKNOWN,tanker,unknown,NL AMS,gdansk,PLGDN,2022-01-19,2022-01-19T17:33:37+00:00,,
232032735_2022-01-19T20-25-53_00-00_LVRIX_port_call,232032735,9312717,UNKNOWN,cargo ship,unknown,DROGHEDA,riga,LVRIX,2022-01-19,2022-01-19T20:25:53+00:00,,
212302000_2022-01-19T20-43-43_00-00_PLGDN_port_call,212302000,9430193,UNKNOWN,cargo ship,unknown,RUBLT,gdansk,PLGDN,2022-01-19,2022-01-19T20:43:43+00:00,,
636020532_2022-01-20T07-28-41_00-00_FIHEL_port_call,636020532,9429223,UNKNOWN,cargo ship,unknown,RULED,helsinki,FIHEL,2022-01-20,2022-01-20T07:28:41+00:00,,
209515000_2022-01-22T18-49-26_00-00_FIHEL_port_call,209515000,9814002,UNKNOWN,cargo ship,unknown,RULED,helsinki,FIHEL,2022-01-22,2022-01-22T18:49:26+00:00,,
245901000_2022-01-23T21-30-03_00-00_LVLPX_port_call,245901000,9547324,UNKNOWN,cargo ship,unknown,AVEDOERE PEC 577,liepaja,LVLPX,2022-01-23,2022-01-23T21:30:03+00:00,,
209488000_2022-01-24T00-13-05_00-00_LVRIX_port_call,209488000,9190183,UNKNOWN,cargo ship,unknown,LVRIX,riga,LVRIX,2022-01-24,2022-01-24T00:13:05+00:00,,
255735000_2022-01-24T01-58-20_00-00_LTKLJ_port_call,255735000,9191175,UNKNOWN,tanker,unknown,NAANTALI,klaipeda,LTKLJ,2022-01-24,2022-01-24T01:58:20+00:00,,
210167000_2022-01-24T11-35-56_00-00_SENRK_port_call,210167000,9349215,UNKNOWN,cargo ship,unknown,RULED,norrköping,SENRK,2022-01-24,2022-01-24T11:35:56+00:00,,
219281000_2022-01-24T11-35-59_00-00_SEGOT_port_call,219281000,9832597,UNKNOWN,cargo ship,unknown,BEGNE,göteborg,SEGOT,2022-01-24,2022-01-24T11:35:59+00:00,,
244020000_2022-01-25T01-06-26_00-00_SEGOT_port_call,244020000,9817169,UNKNOWN,tanker,unknown,SE BRO,göteborg,SEGOT,2022-01-25,2022-01-25T01:06:26+00:00,,
538008901_2022-01-25T14-48-11_00-00_LVRIX_port_call,538008901,9766164,UNKNOWN,cargo ship,unknown,LVRIX BRPNG,riga,LVRIX,2022-01-25,2022-01-25T14:48:11+00:00,,
